GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Acontias,Araceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Araceae/Acontias/
Acophorum,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acophorum/
Acoridium,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acoridium/
Acorus,Acoraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acoraceae/Acorus/
Acosmia,Caryophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Acosmia/
Acosmium,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acosmium/
Acosmus,Malpighiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acosmus/
Acosta,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acosta/
Acosta,Hypnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Hypnaceae/Acosta/
Acostia,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acostia/
Acourtia,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acourtia/
Acrachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acrachne/
Acradenia,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acradenia/
Acranthera,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acranthera/
Acridocarpus,Malpighiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acridocarpus/
Acrilia,Meliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Meliaceae/Acrilia/
Acriopsis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acriopsis/
Acrisione,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acrisione/
Acritochaete,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acritochaete/
Acritodon,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acritodon/
Acritopappus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acritopappus/
Acriulus,Cyperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Acriulus/
Acroblastum,Balanophoraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Balanophoraceae/Acroblastum/
Acrobolbus,Acrobolbaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Acrobolbaceae/Acrobolbus/
Acrobotrys,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acrobotrys/
Acrocarpidium,Piperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Piperaceae/Acrocarpidium/
Acrocarpus,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acrocarpus/
Acrocentron,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acrocentron/
Acrocephalus,Lamiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acrocephalus/
Acroceras,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acroceras/
Acrochaene,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrochaene/
Acrochila,Plagiochilaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Plagiochilaceae/Acrochila/
Acrocladiopsis,Plagiotheciaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Plagiotheciaceae/Acrocladiopsis/
Acrocladium,Amblystegiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Amblystegiaceae/Acrocladium/
Acroclinium,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acroclinium/
Acrocomia,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acrocomia/
Acrocoryne,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acrocoryne/
Acrocryphaea,Cryphaeaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Cryphaeaceae/Acrocryphaea/
Acrodiclidium,Lauraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lauraceae/Acrodiclidium/
Acrodon,Aizoaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Acrodon/
Acroglochin,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acroglochin/
Acroglyphe,Apiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Acroglyphe/
Acrolasia,Loasaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Loasaceae/Acrolasia/
Acrolejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acrolejeunea/
Acrolophia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrolophia/
