"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"403","Coulaceae","Santalales",NA
"404","Coutariaceae","Gentianales",NA
"405","Coutoubeaceae","Gentianales",NA
"406","Crassulaceae","Saxifragales",134
"407","Crescentiaceae","Lamiales",NA
"408","Cressaceae","Solanales",NA
"409","Crinaceae","Asparagales",NA
"410","Crocaceae","Asparagales",NA
"411","Croomiaceae","Pandanales",NA
"412","Crossosomataceae","Crossosomatales",233
"413","Crotonaceae","Malpighiales",NA
"414","Cruciferae","Brassicales",NA
"415","Cryptaceae","Malpighiales",NA
"416","Crypteroniaceae","Myrtales",224
"417","Cryptocorynaceae","Alismatales",NA
"418","Cryptomeriaceae","Pinales",NA
"419","Ctenolophonaceae","Malpighiales",186
"420","Cucurbitaceae","Cucurbitales",167
"421","Cunninghamiaceae","Pinales",NA
"422","Cunoniaceae","Oxalidales",176
"423","Cupressaceae","Pinales",NA
"424","Curcumaceae","Zingiberales",NA
"425","Curtisiaceae","Cornales",318
"426","Cuscutaceae","Solanales",NA
"427","Cyananthaceae","Asterales",NA
"428","Cyanastraceae","Asparagales",NA
"429","Cyanellaceae","Asparagales",NA
"430","Cycadaceae","Cycadales",NA
"431","Cyclanthaceae","Pandanales",50
"432","Cyclantheraceae","Cucurbitales",NA
"433","Cyclocheilaceae","Lamiales",NA
"434","Cydoniaceae","Rosales",NA
"435","Cymodoceaceae","Alismatales",42
"436","Cynanchaceae","Gentianales",NA
"437","Cynaraceae","Asterales",NA
"438","Cynocrambaceae","Gentianales",NA
"439","Cynodontaceae","Poales",NA
"440","Cynoglossaceae","Boraginales",NA
"441","Cynomoriaceae","Saxifragales",139
"442","Cynosuraceae","Poales",NA
"443","Cyperaceae","Poales",99
"444","Cyphiaceae","Asterales",NA
"445","Cyphocarpaceae","Asterales",NA
"446","Cypripediaceae","Asparagales",NA
"447","Cyrillaceae","Ericales",342
"448","Cyrtandraceae","Lamiales",NA
"449","Cyrtanthaceae","Asparagales",NA
"450","Cytinaceae","Malvales",247
"451","Dacrycarpaceae","Pinales",NA
"452","Dactylanthaceae","Santalales",NA
"453","Dalbergiaceae","Fabales",NA
"454","Daleaceae","Fabales",NA
"455","Damasoniaceae","Alismatales",NA
"456","Daphnaceae","Malvales",NA
"457","Daphniphyllaceae","Saxifragales",130
"458","Dasypogonaceae","unplacedCommelinid",90
"459","Datiscaceae","Cucurbitales",169
"460","Daturaceae","Solanales",NA
"461","Daucaceae","Apiales",NA
"462","Davidiaceae","Cornales",NA
"463","Davidsoniaceae","Oxalidales",NA
"464","Decaisneaceae","Ranunculales",NA
"465","Deeringiaceae","Caryophyllales",NA
"466","Degeneriaceae","Magnoliales",18
"467","Delimaceae","Dilleniales",NA
"468","Delphiniaceae","Ranunculales",NA
"469","Dendrophthoaceae","Santalales",NA
"470","Desfontainiaceae","Bruniales",NA
"471","Detariaceae","Fabales",NA
"472","Dialypetalanthaceae","Gentianales",NA
"473","Dianellaceae","Asparagales",NA
"474","Dianthaceae","Caryophyllales",NA
"475","Diapensiaceae","Ericales",336
"476","Dichapetalaceae","Malpighiales",194
"477","Dichondraceae","Solanales",NA
"478","Diclidantheraceae","Fabales",NA
"479","Dicrastylidiaceae","Lamiales",NA
"480","Dictamnaceae","Sapindales",NA
"481","Didiereaceae","Caryophyllales",310
"482","Didymelaceae","Buxales",NA
"483","Didymocarpaceae","Lamiales",NA
"484","Diegodendraceae","Malvales",NA
"485","Diervillaceae","Dipsacales",NA
"486","Digitalidaceae","Lamiales",NA
"487","Dilatridaceae","Commelinales",NA
"488","Dilleniaceae","Dilleniales",124
"489","Dioaceae","Cycadales",NA
"490","Dionaeaceae","Caryophyllales",NA
"491","Dioncophyllaceae","Caryophyllales",290
"492","Dioscoreaceae","Dioscoreales",46
"493","Diosmaceae","Sapindales",NA
"494","Diospyraceae","Ericales",NA
"495","Dipentodontaceae","Huerteales",246
"496","Diphylleiaceae","Ranunculales",NA
"497","Diplolaenaceae","Sapindales",NA
"498","Dipsacaceae","Dipsacales",NA
"499","Dipterocarpaceae","Malvales",256
"500","Dirachmaceae","Rosales",149
"501","Disanthaceae","Saxifragales",NA
"502","Diselmaceae","Pinales",NA
"503","Dodonaeaceae","Sapindales",NA
"504","Dombeyaceae","Malvales",NA
"505","Donatiaceae","Asterales",NA
"506","Dorsteniaceae","Rosales",NA
"507","Dortmannaceae","Asterales",NA
"508","Doryanthaceae","Asparagales",69
"509","Drabaceae","Brassicales",NA
"510","Dracaenaceae","Asparagales",NA
"511","Dracontiaceae","Alismatales",NA
"512","Drimyidaceae","Canellales",NA
"513","Droseraceae","Caryophyllales",287
"514","Drosophyllaceae","Caryophyllales",289
"515","Dryadaceae","Rosales",NA
"516","Duabangaceae","Myrtales",NA
"517","Duckeodendraceae","Solanales",NA
"518","Dulongiaceae","Aquifoliales",NA
"519","Durantaceae","Lamiales",NA
"520","Durionaceae","Malvales",NA
"521","Dysphaniaceae","Caryophyllales",NA
"522","Ebenaceae","Ericales",332
"523","Eccremidaceae","Asparagales",NA
"524","Ecdeiocoleaceae","Poales",105
"525","Echiaceae","Boraginales",NA
"526","Echinariaceae","Poales",NA
"527","Echinopaceae","Asterales",NA
"528","Ehretiaceae","Boraginales",NA
"529","Ehrhartaceae","Poales",NA
"530","Elaeagnaceae","Rosales",150
"531","Elaeocarpaceae","Oxalidales",177
"532","Elatinaceae","Malpighiales",190
"533","Elegiaceae","Poales",NA
"534","Ellisiaceae","Boraginales",NA
"535","Ellisiophyllaceae","Lamiales",NA
"536","Elodeaceae","Alismatales",NA
"537","Elytranthaceae","Santalales",NA
"538","Embeliaceae","Ericales",NA
